name,kind,first_reference,source,english_equivalent,source_form,greek_form,name_meaning,equivalent_source,equivalent_confidence,footnote
Achimaas,transliterated_form,1 Samuel 14:50,ot,Ahimaaz,Achimaas,αχιμαας,a brother of the council,manual/standard English equivalent,manual,Standard English equivalent: Ahimaaz. Source form: Achimaas. Greek form: αχιμαας. Name meaning: a brother of the council. Equivalent source: manual/standard English equivalent.
Ner,person,1 Samuel 14:50,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Agag,person,1 Samuel 15:8,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Karmēlos,transliterated_form,1 Samuel 15:12,ot,Carmel,Karmēlos,καρμηλον,circumcised lamb; harvest; full of ears of corn,UKJV same-reference witness,0.71,Standard English equivalent: Carmel. Source form: Karmēlos. Greek form: καρμηλον. Name meaning: circumcised lamb; harvest; full of ears of corn. Equivalent source: UKJV same-reference witness.
Iessai,transliterated_form,1 Samuel 16:1,ot,Jesse,Iessai,ιεσσαι,gift; oblation; one who is,manual/standard English equivalent,manual,Standard English equivalent: Jesse. Source form: Iessai. Greek form: ιεσσαι. Name meaning: gift; oblation; one who is. Equivalent source: manual/standard English equivalent.
Bēthleemite,transliterated_form,1 Samuel 16:18,ot,Bethlehemite,Bēthleemite,βηθλεεμιτην,house of bread,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Bethlehemite. Source form: Bēthleemite. Greek form: βηθλεεμιτην. Name meaning: house of bread. Equivalent source: UKJV same-reference name-order alignment.
Socoh,person,1 Samuel 17:1,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Azēka,transliterated_form,1 Samuel 17:1,ot,Azekah,Azēka,αζηκα,strength of walls,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Azekah. Source form: Azēka. Greek form: αζηκα. Name meaning: strength of walls. Equivalent source: UKJV same-reference name-order alignment.
Goliath,person,1 Samuel 17:4,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Askalōn,transliterated_form,1 Samuel 17:52,ot,Askelon,Askalōn,ασκαλωνος,weight; balance; fire of infamy,UKJV same-reference witness,0.86,Standard English equivalent: Askelon. Source form: Askalōn. Greek form: ασκαλωνος. Name meaning: weight; balance; fire of infamy. Equivalent source: UKJV same-reference witness.
Akkarōn,transliterated_form,1 Samuel 17:52,ot,Ekron,Akkarōn,ακκαρων,barrenness; torn away,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Ekron. Source form: Akkarōn. Greek form: ακκαρων. Name meaning: barrenness; torn away. Equivalent source: UKJV same-reference name-order alignment.
Sephi,place,1 Samuel 19:22,ot,Sechu,Sephi,σεφι,defense; bough,UKJV same-reference witness,0.60,Place-name meaning: Sechu — defense; bough. Standard English equivalent: Sechu. Source form: Sephi. Greek form: σεφι. Equivalent source: UKJV same-reference witness.
Dōēk,transliterated_form,1 Samuel 21:8,ot,Doeg,Dōēk,δωηκ,"careful, who acts with uneasiness",UKJV same-reference name-order alignment,aligned,"Standard English equivalent: Doeg. Source form: Dōēk. Greek form: δωηκ. Name meaning: careful, who acts with uneasiness. Equivalent source: UKJV same-reference name-order alignment."
Ela,person,1 Samuel 21:10,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Anchous,transliterated_form,1 Samuel 21:11,ot,Achish,Anchous,αγχους,thus it is; how is this,manual/standard English equivalent,manual,Standard English equivalent: Achish. Source form: Anchous. Greek form: αγχους. Name meaning: thus it is; how is this. Equivalent source: manual/standard English equivalent.
Keila,transliterated_form,1 Samuel 23:1,ot,Keilah,Keila,κειλα,meaning uncertain/not securely attested in the consulted name dictionaries,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Keilah. Source form: Keila. Greek form: κειλα. Name meaning: meaning uncertain/not securely attested in the consulted name dictionaries. Equivalent source: UKJV same-reference name-order alignment.
